player;playerLabel;sitelinks;nbClubs;naissance;nationalites;postes;alias;famous
http://www.wikidata.org/entity/Q12897;Pelé;181;4;23/10/1940;Brésil;attaquant/milieu de terrain;El Rey/Pérola Negra/Pele/O Rei/Edson Arantes do Nascimento/Edson Arantes do Nascimento/O Rei/Rei do Futebol/Rei Pelé;1
http://www.wikidata.org/entity/Q17515;Diego Maradona;174;8;30/10/1960;Argentine;attaquant/milieu de terrain;Maradó;1
http://www.wikidata.org/entity/Q1835;Zinedine Zidane;144;9;23/06/1972;France;milieu offensif/milieu de terrain;Zidane/Zizou/Zinedine Yazid Zidane/Zizou/Zina-din Yazid Zidan/Zinedine Yazid Zidane/Zinédine Zidane/Zinédine Yazid Zidane/Zinedine Zidane;1
http://www.wikidata.org/entity/Q10520;David Beckham;137;9;02/05/1975;Royaume-Uni;milieu de terrain;Becks/Beckham/David Robert Joseph Beckham/Sir David Beckham/Sir David Robert Joseph Beckham/Becks;1
http://www.wikidata.org/entity/Q17163;Johan Cruijff;127;8;25/04/1947;Royaume des Pays-Bas;attaquant/milieu de terrain;Hendrik Johannes Cruyff;1
http://www.wikidata.org/entity/Q20110;Francesco Totti;126;10;27/09/1976;Italie;attaquant/milieu de terrain;Totti;1
http://www.wikidata.org/entity/Q529207;Ronaldo;124;10;18/09/1976;Brésil;attaquant;Ronaldo Nazário/Ronaldo Luis Nazario de Lima/Ronaldo Nazário/Ronaldo Fenômeno;1
http://www.wikidata.org/entity/Q46896;Zlatan Ibrahimovi?;119;10;03/10/1981;Suède;attaquant;Zlatan Ibrahimovic/Ibrahimovi?/Zlatan/Ibrahimovic/Zlatan Ibrahimovic/Zlatan Ibrahimovic;1
http://www.wikidata.org/entity/Q4457;Franz Beckenbauer;115;6;11/09/1945;Allemagne de l'Ouest/Allemagne;libéro/défenseur;Kaiser/Der Kaiser;1
http://www.wikidata.org/entity/Q39444;Ronaldinho;114;13;21/03/1980;Brésil/Espagne;ailier;Ronaldinho/Ronaldinho Gaucho/Ronaldinho Gaúcho/ronaldinho:Touch of Gold/Ronaldo de Assis Moreira/Ronaldinho Gaucho/Ronaldinho Gaúcho/Ronaldino/Ronaldiño/Ronaldo de Assis/Ronaldo De Assis Moreira/Ronaldinho de Assis Moreira/Ronaldinho Gaúcho/Ronaldo de Assis Moreira/Ronaldo Assis Moreira/Ronaldo de Assis Moreira;1
http://www.wikidata.org/entity/Q44980;Alex Ferguson;113;8;31/12/1941;Royaume-Uni;attaquant;Fergie/Alexander Chapman Ferguson/Sir Alex Ferguson/Alexander Chapman Ferguson/Sir Alex Ferguson/Sir Alexander Chapman Ferguson/Sir Alex Ferguson/Sir Alexander Chapman Ferguson/Alexander Chapman Ferguson/Sir Alex Ferguson/Sir Alexander Chapman Ferguson;0
http://www.wikidata.org/entity/Q68060;Gianluigi Buffon;111;9;28/01/1978;Italie;gardien de but;Buffon/Gigi Buffon/Gianluigi Buffon Masocco;1
http://www.wikidata.org/entity/Q79983;José Mourinho;108;4;26/01/1963;Portugal;milieu de terrain;José Mário dos Santos Félix Mourinho/Special One/José Mário dos Santos Mourinho Félix/The Special One/Mourinho/Mourinho/Jose Mario dos Santos Mourinho Felix/José Mário dos Santos Mourinho Félix/Jose Mourinho/Jose Mourinho/Jose Mourinho;0
http://www.wikidata.org/entity/Q43729;Andrés Iniesta;106;12;11/05/1984;Espagne;milieu de terrain;Andrés Iniesta Luján/Andres Iniesta/Andres Iniesta Lujan/Andres Iniesta Luján/Andrés Iniesta Lujan/Andrés Iniesta Luján/Andres Iniesta/Andrés Iniesta Luján/Andrés Iniesta Luján;1
http://www.wikidata.org/entity/Q83488;Mesut Özil;105;9;15/10/1988;Allemagne/Turquie;milieu offensif/milieu de terrain;Ozil/Mesut Oezil/Mesut Ozil/Özil/Mesült Özil/Mesut Ozil/Mesut Ôzil;1
http://www.wikidata.org/entity/Q4261;Michel Platini;104;7;21/06/1955;France;milieu de terrain;Michel Francois Platini;1
http://www.wikidata.org/entity/Q41533;Frank Lampard;104;8;20/06/1978;Royaume-Uni;milieu de terrain;Lampard/Frank James Lampard/Frank James Lampard/Frank James Lampard;1
http://www.wikidata.org/entity/Q45901;Thierry Henry;103;12;17/08/1977;France;attaquant;Thierry Daniel Henry/Thierry Daniel Henry/Thierry Daniel Henry/Titi Henry/Thierry Daniel Henry;1
http://www.wikidata.org/entity/Q1354960;Mohamed Salah;102;7;15/06/1992;Égypte;ailier/milieu excentré/attaquant;Mo Salah/Mohamed Salah Hamed Mahrous Ghaly/Mohamed Salah Hamed Mahrous Ghaly/Mohamed Salah Hamed Mahrous Ghaly/Mohamed Salah Hamed Mahrous Ghaly;1
http://www.wikidata.org/entity/Q266613;Wayne Rooney;101;7;24/10/1985;Royaume-Uni;milieu de terrain axial/attaquant;Wayne Mark Rooney/Wayne Mark Rooney/Wayne Mark Rooney;1
http://www.wikidata.org/entity/Q80471;Miroslav Klose;101;7;09/06/1978;Allemagne/Pologne;attaquant;Klose/Miro Klose/Miroslav Josef Klose/Klose al x50 de mundiales/Miroslav Josef Klose/Miroslav Josef Klose/Miroslav Josef Klose/Miros?aw Marian Klose;1
http://www.wikidata.org/entity/Q11584;Iker Casillas;100;11;20/05/1981;Espagne;gardien de but;El Santo/Casillas/Iker Casillas Fernández/Íker Casillas/Iker Casillas Fernandez/Iker Casillas Fernández/Íker Casillas Fernández/Iker Casillas Fernández;1
http://www.wikidata.org/entity/Q531814;Kaká;99;6;22/04/1982;Brésil/Italie;milieu de terrain;Kaka/Ricardo Kaká/Ricardo dos Santos Leite/Ricardo Izecson/Ricardo Izecson dos Santos/Ricardo Izecson Dos Santos Leite/Ricardo Izecson dos Santos Leite;1
http://www.wikidata.org/entity/Q2339;Robin van Persie;97;8;06/08/1983;Royaume des Pays-Bas;attaquant;;1
http://www.wikidata.org/entity/Q17500;Xavi Hernández;96;10;25/01/1980;Espagne;milieu de terrain;Xavi/Xavi/Xavier Hernández/Xavier Hernández Creus/Xavi Hernandez/Xavier Hernandez Creus/Xavier Hernández Creus/Xavier Hernández i Creus/Xavier Hernández Creus;1
http://www.wikidata.org/entity/Q459830;Steven Gerrard;96;4;30/05/1980;Royaume-Uni;milieu de terrain;Gerrard/Steven George Gerrard/Stevie G/Steven George Gerrard;1
http://www.wikidata.org/entity/Q164038;Pep Guardiola;95;10;18/01/1971;Espagne;milieu de terrain;Guardiola Sala/Josep Guardiola/Josep Guardiola i Sala/Josep Guardiola/Josep Guardiola i Sala/Pep Guardiola/Josep Guardiola i Sala;1
http://www.wikidata.org/entity/Q162043;Eusébio;95;10;25/01/1942;Portugal;attaquant;Euséddbio da Silva Ferreira/Eusebio/Eusebio/Eusebio/Euzébio/Eusebueno/Eusébio/Eusebio Ferreira da Silva/Eusébio da Silva Ferreira/Eusébio da Silva Ferreira/Euzebio/Pantera Negra;1
http://www.wikidata.org/entity/Q184586;Gareth Bale;94;8;16/07/1989;Royaume-Uni;milieu excentré;Gareth Frank Bale/Gareth Frank Bale/Gareth Frank Bale/Gareth Frank Bale;1
http://www.wikidata.org/entity/Q482931;Ferenc Puskás;94;4;01/04/1927;Espagne/Hongrie;attaquant;Ferenc Puskas/Puskás/Puskas/Puskas/Puskas/Ferenc Purczeld/Ferenc Purczeld Biro/Ferenc Purczeld Biró/Cañoncito Pum Pum/Ferenc Purzceld/Ferenc Puskas/Férenc Puskas/Puskas Ferenc/Puskás Ferenc/Ferenc Puskas/Ferenc Puskas/Ferenc Puskás Biró;1
http://www.wikidata.org/entity/Q173139;George Weah;94;13;01/10/1966;Liberia/France;attaquant;George Manneh Oppong Weah/George Tawlon Manneh Oppong Ousman Weah/Weah/George Manneh Weah/Weah/George Tawlon Manneh Oppong Ousman Weah;1
http://www.wikidata.org/entity/Q214204;Eden Hazard;93;5;07/01/1991;Belgique;ailier;Eden Michael Hazard/Eden Michael Hazard/Eden Michael Hazard/Eden Michael Walter Lucien Hazard;1
http://www.wikidata.org/entity/Q43913;Arjen Robben;93;11;23/01/1984;Royaume des Pays-Bas;ailier droit/milieu offensif;;1
